GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Restheart,org.restheart.db,DBCursorPool.DBCursorPoolSingletonHolder,12,0,0,0,2,0,2,0,2,0
Restheart,org.restheart.db,GridFsDAO,157,0,16,0,39,0,16,0,8,0
Restheart,org.restheart.db,MongoDBClientSingleton,68,107,22,12,14,29,17,8,1,7
Restheart,org.restheart.db,DocumentDAO,216,54,20,2,40,13,14,2,3,2
Restheart,org.restheart.db,Database,7,0,0,0,1,0,1,0,1,0
Restheart,org.restheart.db,DBCursorPool,664,0,66,0,116,0,51,0,18,0
Restheart,org.restheart.db,MongoDBClientSingleton.MongoDBClientSingletonHolder,3,6,0,0,1,1,1,1,1,1
Restheart,org.restheart.db,CollectionDAO,614,184,85,7,115,34,59,4,13,4
Restheart,org.restheart.db,DAOUtils,130,8,14,2,39,1,16,2,9,1
Restheart,org.restheart.db,DBCursorPoolEntryKey,235,0,22,0,38,0,22,0,11,0
Restheart,org.restheart.db,DbsDAO,481,164,51,5,92,34,50,5,22,5
Restheart,org.restheart.db,SkippedDBCursor,15,0,0,0,6,0,3,0,3,0
Restheart,org.restheart.db,IndexDAO,67,41,1,1,12,11,4,3,3,3
Restheart,org.restheart.db,DBCursorPool.EAGER_CURSOR_ALLOCATION_POLICY,48,0,0,0,4,0,4,0,4,0
Restheart,org.restheart.db,OperationResult,15,9,0,0,6,4,3,1,3,1
Restheart,org.restheart.db,PropsFixer,276,0,20,0,62,0,20,0,10,0
Restheart,org.restheart.cache.impl,GuavaCache,105,0,16,0,28,0,15,0,7,0
Restheart,org.restheart.cache.impl,GuavaLoadingCache,71,0,8,0,16,0,10,0,6,0
Restheart,org.restheart.cache.impl,GuavaLoadingCache.new CacheLoader() {...},15,0,0,0,2,0,2,0,2,0
Restheart,org.restheart.handlers.indexes,DeleteIndexHandler,59,0,8,0,14,0,6,0,2,0
Restheart,org.restheart.handlers.indexes,IndexesRepresentationFactory,229,0,26,0,39,0,20,0,7,0
Restheart,org.restheart.handlers.indexes,PutIndexHandler,100,0,10,0,28,0,7,0,2,0
Restheart,org.restheart.handlers.indexes,GetIndexesHandler,26,0,0,0,7,0,2,0,2,0
Restheart,org.restheart.security,FullAccessManager,7,0,0,0,4,0,3,0,3,0
Restheart,org.restheart.security,RestheartIdentityManager,3,0,0,0,2,0,1,0,1,0
Restheart,org.restheart.security,AuthTokenAuthenticationMechanism,161,0,16,0,38,0,13,0,5,0
Restheart,org.restheart.security,SilentBasicAuthenticationMechanism,25,0,2,0,6,0,3,0,2,0
Restheart,org.restheart.security.handlers,AuthenticationMechanismsHandler,39,0,4,0,13,0,5,0,3,0
Restheart,org.restheart.security.handlers,CORSHandler,85,0,4,0,21,0,6,0,4,0
Restheart,org.restheart.security.handlers,SecurityInitialHandler,69,0,2,0,20,0,7,0,6,0
Restheart,org.restheart.security.handlers,AccessManagerHandler,26,0,4,0,8,0,4,0,2,0
Restheart,org.restheart.security.handlers,HeadersManager,44,0,4,0,10,0,8,0,6,0
Restheart,org.restheart.security.handlers,SecurityHandler,52,0,4,0,12,0,5,0,3,0
Restheart,org.restheart.security.handlers,CORSHandler.CORSHeaders,10,0,0,0,3,0,1,0,1,0
Restheart,org.restheart.security.handlers,AuthTokenHandler,133,0,14,0,30,0,11,0,4,0
Restheart,org.restheart.security.handlers,IAuthToken,0,10,0,0,0,3,0,1,0,1
Restheart,org.restheart.security.handlers,AuthenticationCallHandler,31,0,6,0,11,0,5,0,2,0
Restheart,org.restheart.security.handlers,AuthTokenInjecterHandler,113,0,10,0,24,0,10,0,5,0
Restheart,org.restheart.security.handlers,AuthenticationConstraintHandler,27,0,2,0,9,0,4,0,3,0
Restheart,org.restheart.security.handlers,SecurityHandlerDispacher,44,0,4,0,8,0,4,0,2,0
Restheart,org.restheart.utils,OSChecker,36,0,6,0,7,0,9,0,6,0
Restheart,org.restheart.utils,HttpStatus,240,0,10,0,62,0,9,0,4,0
Restheart,org.restheart.utils,ChannelReader,47,0,2,0,14,0,4,0,3,0
Restheart,org.restheart.utils,ResourcesExtractor,205,0,26,0,45,0,19,0,6,0
Restheart,org.restheart.utils,URLUtils,477,380,94,34,88,59,73,22,8,12
Restheart,org.restheart.utils,ExecutorServiceSingleton,12,0,0,0,5,0,3,0,3,0
Restheart,org.restheart.utils,URLUtils.new Object() {...},54,0,0,0,1,0,1,0,1,0
Restheart,org.restheart.utils,ExecutorServiceSingleton.ExecutorServiceSingletonHolder,9,0,0,0,3,0,2,0,2,0
Restheart,org.restheart.utils,LoggingInitializer,103,0,0,0,34,0,4,0,4,0
Restheart,org.restheart.utils,ResourcesExtractor.new SimpleFileVisitor() {...},62,0,2,0,8,0,5,0,4,0
Restheart,org.restheart.utils,FileUtils,264,0,32,0,50,0,28,0,12,0
Restheart,org.restheart.utils,RequestHelper,57,0,14,0,13,0,11,0,4,0
Restheart,org.restheart.utils,JsonUtils,454,464,124,88,72,98,93,42,4,8
Restheart,org.restheart.utils,ResponseHelper,199,0,20,0,53,0,18,0,8,0
Restheart,org.restheart.security.impl,AbstractSimpleSecurityManager,158,0,16,0,37,0,13,0,5,0
Restheart,org.restheart.security.impl,DbIdentityManager,447,0,74,0,103,0,49,0,12,0
Restheart,org.restheart.security.impl,SimplePrincipal,16,0,2,0,6,0,3,0,2,0
Restheart,org.restheart.security.impl,SimpleAccount,48,0,8,0,14,0,8,0,4,0
Restheart,org.restheart.security.impl,SimpleFileIdentityManager,154,0,24,0,33,0,20,0,8,0
Restheart,org.restheart.security.impl,AuthTokenIdentityManager,88,0,14,0,20,0,15,0,8,0
Restheart,org.restheart.security.impl,AuthTokenIdentityManager.SessionTokenIdentityManagerHolder,9,0,0,0,3,0,2,0,2,0
Restheart,org.restheart.security.impl,SimpleAccessManager.NotAuthenticatedAccount,13,0,0,0,3,0,3,0,3,0
Restheart,org.restheart.security.impl,SimpleAccessManager,197,0,26,0,39,0,27,0,14,0
Restheart,org.restheart,ConfigurationException,12,0,0,0,6,0,3,0,3,0
Restheart,org.restheart,Configuration,690,713,71,33,161,135,91,20,42,17
Restheart,org.restheart,Shutdowner,116,0,12,0,33,0,10,0,4,0
Restheart,org.restheart,Bootstrapper,1518,0,154,0,378,0,98,0,21,0
Restheart,org.restheart,Bootstrapper.new Thread() {...},6,0,0,0,3,0,2,0,2,0
Restheart,org.restheart.handlers,GzipEncodingHandler,63,0,6,0,15,0,6,0,3,0
Restheart,org.restheart.handlers,PipedHttpHandler,91,9,4,0,19,4,9,1,7,1
Restheart,org.restheart.handlers,IllegalQueryParamenterException,9,0,0,0,4,0,2,0,2,0
Restheart,org.restheart.handlers,RequestDispacherHandler,320,83,13,5,49,16,12,5,3,5
Restheart,org.restheart.handlers,RequestContext.METHOD,9,79,0,0,0,8,2,2,2,2
Restheart,org.restheart.handlers,RequestContext,309,328,58,50,83,70,81,26,45,8
Restheart,org.restheart.handlers,RequestContext.TYPE,9,109,0,0,0,11,2,2,2,2
