Count,Code,Browser,B&W*,Apple,Andr,Twit,Wind,GMail,DCM,KDDI,SB,Name,Version,Default,Annotations
1,U+1F600,😀,,,,,,,missing,missing,missing,grinning face,V6.1ˣ,emoji,"face, grin, person"
2,U+1F601,😁,,,,,,,,,,grinning face with smiling eyes,V6.0ʲ,emoji,"eye, face, grin, person, smile"
3,U+1F602,😂,,,,,,,missing,,,face with tears of joy,V6.0ʲ,emoji,"face, joy, person, tear"
4,U+1F603,😃,,,,,,,,,,smiling face with open mouth,V6.0ʲ,emoji,"face, mouth, open, person, smile"
5,U+1F604,😄,,,,,,,missing,missing,,smiling face with open mouth and smiling eyes,V6.0ʲ,emoji,"eye, face, mouth, open, person, smile"
6,U+1F605,😅,,,,,,,,missing,missing,smiling face with open mouth and cold sweat,V6.0ʲ,emoji,"cold, face, open, person, smile, sweat"
7,U+1F606,😆,,,,,,,,missing,missing,smiling face with open mouth and tightly-closed eyes,V6.0ʲ,emoji,"face, laugh, mouth, open, person, satisfied, smile"
8,U+1F609,😉,,,,,,,,,,winking face,V6.0ʲ,emoji,"face, person, wink"
9,U+1F60A,😊,,,,,,,missing,,,smiling face with smiling eyes,V6.0ʲ,emoji,"blush, eye, face, person, smile"
10,U+1F60B,😋,,,,,,,,missing,missing,face savouring delicious food,V6.0ʲ,emoji,"delicious, face, food, person, savouring, smile, um, yum"
11,U+1F60E,😎,,,,,,,missing,missing,missing,smiling face with sunglasses,V6.0ˣ,emoji,"bright, cool, eye, eyewear, face, glasses, person, smile, sun, sunglasses, weather"
12,U+1F60D,😍,,,,,,,,,,smiling face with heart-shaped eyes,V6.0ʲ,emoji,"eye, face, heart, love, person, smile"
13,U+1F618,😘,,,,,,,missing,,,face throwing a kiss,V6.0ʲ,emoji,"face, heart, kiss, person"
14,U+1F617,😗,,,,,,missing,missing,missing,missing,kissing face,V6.1ˣ,emoji,"face, kiss, person"
15,U+1F619,😙,,,,,,missing,missing,missing,missing,kissing face with smiling eyes,V6.1ˣ,emoji,"eye, face, kiss, person, smile"
16,U+1F61A,😚,,,,,,,missing,,,kissing face with closed eyes,V6.0ʲ,emoji,"closed, eye, face, kiss, person"
17,U+263A,☺️,,,,,,,missing,,,white smiling face,V1.1ʲʷ,text*,"face, outlined, person, relaxed, smile"
18,U+1F642,🙂,,new 7.0,new 7.0,new 7.0,,,new 7.0,new 7.0,new 7.0,slightly smiling face,V7.0ˣ,emoji,"face, person, smile"
19,U+1F917,🤗,,missing,missing,missing,missing,missing,missing,missing,missing,hugging face,V8.0ˣ,emoji,"face, hug, hugging, person"
20,U+1F607,😇,,,,,,missing,missing,missing,missing,smiling face with halo,V6.0ˣ,emoji,"angel, face, fairy tale, fantasy, halo, innocent, person, smile"
21,U+1F914,🤔,,missing,missing,missing,missing,missing,missing,missing,missing,thinking face,V8.0ˣ,emoji,"face, person, thinking"
22,U+1F610,😐,,,,,,missing,missing,missing,missing,neutral face,V6.0ʷ,emoji,"deadpan, face, neutral, person"
23,U+1F611,😑,,,,,,missing,missing,missing,missing,expressionless face,V6.1ˣ,emoji,"expressionless, face, inexpressive, person, unexpressive"
24,U+1F636,😶,,,,,,missing,missing,missing,missing,face without mouth,V6.0ˣ,emoji,"face, mouth, person, quiet, silent"
